,Ingredient 1,Ingredient 2,Ingredient 3,Effects
0,Abecean Longfin 00106e1b,Ancestor Moth WingDG xx0059ba,Cyrodilic Spadetail 00106e19,"Damage Stamina, Fortify Restoration"
1,Abecean Longfin 00106e1b,Ash Creep ClusterDB xx01cd74,Ashen Grass PodDB xx016e26,"Fortify Sneak, Resist Fire"
2,Abecean Longfin 00106e1b,Ash Creep ClusterDB xx01cd74,Beehive Husk 000a9191,"Fortify Destruction, Fortify Sneak"
3,Abecean Longfin 00106e1b,Ash Creep ClusterDB xx01cd74,Chaurus Eggs 0003ad56,"Weakness to Poison, Invisibility"
4,Abecean Longfin 00106e1b,Ash Creep ClusterDB xx01cd74,Cyrodilic Spadetail 00106e19,"Damage Stamina, Fortify Restoration"
5,Abecean Longfin 00106e1b,Ash Creep ClusterDB xx01cd74,Elves Ear 00034d31,"Weakness to Frost, Resist Fire"
6,Abecean Longfin 00106e1b,Ash Creep ClusterDB xx01cd74,Fire Salts 0003ad5e,"Weakness to Frost, Resist Fire"
7,Abecean Longfin 00106e1b,Ash Creep ClusterDB xx01cd74,Ice Wraith Teeth 0003ad6a,"Weakness to Frost, Invisibility"
8,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,,Weakness to Frost
9,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Ashen Grass PodDB xx016e26,"Weakness to Frost, Fortify Sneak"
10,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Beehive Husk 000a9191,"Weakness to Frost, Fortify Light Armor, Fortify Sneak"
11,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Bleeding Crown 0004da20,"Weakness to Poison, Weakness to Frost"
12,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Blisterwort 0004da25,"Weakness to Frost, Restore Health"
13,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Blue Dartwing 000e4f0c,"Weakness to Frost, Restore Health, Resist Shock"
14,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Blue Mountain Flower 00077e1c,"Weakness to Frost, Restore Health"
15,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Butterfly Wing 000727e0,"Weakness to Frost, Restore Health"
16,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Charred Skeever Hide 00052695,"Weakness to Frost, Restore Health"
17,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Chaurus Eggs 0003ad56,"Weakness to Poison, Weakness to Frost"
18,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Cyrodilic Spadetail 00106e19,"Weakness to Frost, Fortify Restoration"
19,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Daedra Heart 0003ad5b,"Weakness to Frost, Restore Health"
20,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Deathbell 000516c8,"Weakness to Poison, Weakness to Frost"
21,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Eye of Sabre Cat 0006bc07,"Weakness to Frost, Restore Health"
22,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Felsaad Tern FeathersDB xx03cd8e,"Weakness to Frost, Restore Health, Fortify Light Armor"
23,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Frost Mirriam 00034d32,"Weakness to Frost, Fortify Sneak"
24,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Giant Lichen 0007e8c1,"Weakness to Poison, Weakness to Frost"
25,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Glow Dust 0003ad73,"Weakness to Frost, Resist Shock"
26,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Glowing Mushroom 0007ee01,"Weakness to Frost, Resist Shock"
27,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Hawk Beak 000e7ebc,"Weakness to Frost, Resist Shock"
28,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Hawk Feathers 000e7ed0,"Weakness to Frost, Fortify Light Armor, Fortify Sneak"
29,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Honeycomb 000b08c5,"Weakness to Frost, Fortify Light Armor"
30,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Human Flesh 001016b3,"Weakness to Frost, Fortify Sneak"
31,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Imp Stool 0004da23,"Weakness to Frost, Restore Health"
32,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Luna Moth Wing 000727df,"Weakness to Frost, Fortify Light Armor"
33,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Pearl 000854fe,"Weakness to Frost, Resist Shock"
34,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Pine Thrush Egg 00023d6f,"Weakness to Poison, Weakness to Frost, Resist Shock"
